Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge,Interaction1
5667,0,971.0,15721.0,10,2,42,9710.0
26657,1,3214.0,21318.0,2,1,27,6428.0
27873,0,2338.0,18156.0,2,1,31,4676.0
13744,1,900.0,14526.0,7,1,23,6300.0
20342,0,668.0,13742.0,4,1,40,2672.0
16872,1,331.0,12790.5,5,2,54,1655.0
4930,0,1026.0,16422.0,12,1,29,12312.0
19249,1,880.0,13930.0,5,1,36,4400.0
4905,1,1001.0,16320.0,12,1,32,12012.0
4580,0,1384.0,18123.0,12,1,30,16608.0
19250,1,1018.0,14160.0,5,1,55,5090.0
30334,0,1463.0,16059.0,1,1,45,1463.0
20412,1,2703.0,17937.0,4,1,50,10812.0
9129,1,2136.0,20507.0,10,1,35,21360.0
20040,0,1783.0,15827.0,5,1,27,8915.0
7167,1,334.0,13401.0,11,1,37,3674.0
10492,1,1971.0,19372.0,9,1,25,17739.0
7743,1,347.0,13123.0,10,1,44,3470.0
9921,0,2158.0,20487.0,9,1,23,19422.0
15260,0,239.0,12490.0,7,1,34,1673.0
27161,1,783.0,14557.0,2,1,50,1566.0
22525,0,665.333333333,13965.3333333,1,3,30,665.333333333
19512,0,3511.0,23567.0,5,1,31,17555.0
15251,0,1214.5,15615.5,6,2,33,7287.0
17329,0,1517.0,16547.0,6,1,43,9102.0
9198,1,1544.0,17468.0,9,1,52,13896.0
17169,0,3163.33333333,21144.3333333,4,3,51,12653.3333333
6621,0,1476.0,18713.0,11,1,40,16236.0
5528,1,172.0,12743.0,12,1,40,2064.0
17092,1,669.0,14271.0,6,1,33,4014.0
18881,0,2174.0,16699.0,5,1,22,10870.0
19937,1,3477.0,22800.0,5,1,26,17385.0
26673,1,1013.0,15161.0,2,1,27,2026.0
9172,1,495.571428571,13482.8571429,4,7,48,1982.28571429
8852,0,2331.0,22503.0,10,1,18,23310.0
28260,0,3205.0,21258.0,2,1,49,6410.0
27363,0,817.0,14667.0,2,1,27,1634.0
10793,0,2394.0,23059.0,9,1,35,21546.0
19476,1,1208.0,14571.0,5,1,54,6040.0
10801,0,2356.0,22353.0,9,1,33,21204.0
11725,0,2249.0,19255.0,8,1,30,17992.0
16932,1,1923.0,17644.0,6,1,24,11538.0
27025,0,868.0,14803.0,2,1,38,1736.0
4217,0,28.0,10502.0,13,1,39,364.0
22012,0,3756.0,22193.0,4,1,32,15024.0
15182,1,983.0,14818.0,7,1,45,6881.0
6717,1,90.0,11640.0,11,1,37,990.0
30350,1,765.0,14201.0,1,1,35,765.0
16370,0,2063.0,18036.0,6,1,31,12378.0
27012,1,1593.0,16420.0,2,1,53,3186.0
28156,0,3381.0,22277.0,2,1,39,6762.0
3200,1,943.0,16148.0,13,1,49,12259.0
10155,1,148.0,12527.0,9,1,44,1332.0
11465,0,2186.0,18864.0,8,1,28,17488.0
24045,1,748.0,14479.0,2,1,24,1496.0
10865,0,2452.0,23849.0,9,1,24,22068.0
19800,1,613.5,13451.5,4,2,29,2454.0
14705,1,434.0,13167.0,7,1,36,3038.0
10329,1,166.0,12594.0,9,1,28,1494.0
28584,1,41.0,10893.0,1,1,35,41.0
12418,1,871.0,14527.0,8,1,40,6968.0
28056,1,459.0,13686.0,2,1,32,918.0
5464,0,1679.0,21124.0,12,1,44,20148.0
8395,1,331.0,13063.0,10,1,35,3310.0
2696,1,2034.0,17528.0,1,2,50,2034.0
19918,0,1725.0,15717.0,5,1,35,8625.0
4160,0,1044.0,16804.0,13,1,39,13572.0
14365,0,330.333333333,13095.6666667,2,3,25,660.666666667
30220,1,1.0,8447.0,1,1,25,1.0
26873,1,35.0,10971.0,2,1,41,70.0
3297,0,817.0,15580.0,13,1,41,10621.0
14993,1,772.5,13931.5,5,2,25,3862.5
10028,1,2444.0,23561.0,9,1,70,21996.0
9836,1,1819.5,16806.0,4,2,54,7278.0
14818,1,1287.0,15606.0,7,1,55,9009.0
22361,0,1762.66666667,16400.3333333,1,3,43,1762.66666667
8387,1,857.0,14923.0,10,1,31,8570.0
14626,1,2562.0,20720.0,7,1,55,17934.0
15110,0,2430.0,19924.5,6,2,54,14580.0
8400,1,523.0,13795.0,10,1,59,5230.0
14079,0,1898.0,17314.0,7,1,30,13286.0
15797,0,1207.0,15799.0,6,1,39,7242.0
7314,1,1427.0,16882.0,10,1,40,14270.0
21774,1,2806.0,18177.0,4,1,31,11224.0
19131,0,2985.0,19005.0,5,1,43,14925.0
6690,0,1568.0,19808.0,11,1,27,17248.0
26925,1,1072.0,15121.0,1,2,47,1072.0
10380,0,614.0,14496.0,9,1,36,5526.0
12141,1,1035.0,15030.5,7,2,54,7245.0
18913,1,3430.0,22093.0,5,1,39,17150.0
17765,1,1889.0,16590.5,2,2,41,3778.0
26056,0,2694.0,19310.0,2,1,32,5388.0
11040,1,1697.0,18015.0,9,1,41,15273.0
28392,1,1122.0,15411.0,2,1,58,2244.0
12978,0,914.0,14669.0,8,1,22,7312.0
6966,1,55.0,11312.0,11,1,44,605.0
6499,1,1623.0,20543.0,11,1,53,17853.0
18145,1,394.0,12582.0,5,1,31,1970.0
22310,1,2250.0,16906.0,4,1,24,9000.0
7832,0,2068.0,20069.0,10,1,20,20680.0
10954,0,782.0,15143.0,9,1,43,7038.0
6073,0,1732.0,23888.0,11,1,20,19052.0
17805,1,2482.0,17418.0,5,1,37,12410.0
9436,0,643.0,14614.0,9,1,33,5787.0
29294,0,753.0,14158.0,1,1,30,753.0
2621,1,1966.0,17687.0,1,1,35,1966.0
8313,1,1788.0,18353.0,10,1,35,17880.0
17177,1,2581.0,20448.0,6,1,48,15486.0
16558,1,781.0,14559.0,6,1,44,4686.0
22450,0,2684.0,17877.0,4,1,24,10736.0
26878,0,809.0,14645.0,2,1,35,1618.0
22598,0,3901.0,23971.0,4,1,29,15604.0
28082,0,2244.0,17924.0,2,1,39,4488.0
28879,0,1604.0,16421.0,1,1,50,1604.0
5145,1,2056.25,21958.75,8,4,64,16450.0
22682,1,3797.0,22496.0,4,1,28,15188.0
17383,0,2739.0,21880.0,6,1,31,16434.0
29279,0,1782.0,17014.0,1,1,45,1782.0
29246,1,581.0,13751.0,1,1,45,581.0
3174,1,1234.0,17611.0,12,2,49,14808.0
26597,1,2464.0,18543.0,2,1,23,4928.0
20220,0,2515.0,17474.0,4,1,32,10060.0
5334,1,1402.0,18327.0,12,1,27,16824.0
7292,0,1853.0,18807.0,10,1,34,18530.0
12844,1,2428.0,20474.0,8,1,29,19424.0
27841,0,1733.0,16731.0,2,1,46,3466.0
10414,0,1714.33333333,17346.6666667,6,3,59,10286.0
28514,1,311.0,13155.0,2,1,42,622.0
5609,1,1783.25,21785.75,9,4,24,16049.25
28210,0,3019.0,20355.0,2,1,48,6038.0
18585,1,2861.0,18494.0,5,1,26,14305.0
19038,1,958.0,14060.0,5,1,23,4790.0
16978,0,2699.0,21468.0,6,1,29,16194.0
4358,1,157.0,12177.0,13,1,52,2041.0
9453,1,1944.0,19229.0,9,1,45,17496.0
12008,0,409.0,13221.0,8,1,33,3272.0
29951,1,62.0,11378.0,1,1,30,62.0
11654,0,2427.0,20470.0,8,1,32,19416.0
3800,0,846.5,14576.5,4,2,48,3386.0
7661,1,561.0,13892.0,10,1,46,5610.0
29312,1,9.0,10188.0,1,1,30,9.0
3507,1,816.0,15551.0,12,2,36,9792.0
22110,1,1343.0,15155.0,4,1,38,5372.0
20062,0,2371.0,17117.0,5,1,25,11855.0
5354,0,1638.0,20505.0,12,1,43,19656.0
13590,1,1223.0,15445.0,7,1,46,8561.0
18531,0,2546.0,17624.0,5,1,24,12730.0
26033,1,679.0,14284.0,2,1,38,1358.0
4567,0,616.0,14651.0,12,1,29,7392.0
9013,0,1142.0,15931.0,10,1,27,11420.0
8322,1,526.0,13800.0,10,1,45,5260.0
6620,1,1022.0,16189.0,11,1,43,11242.0
14142,1,2161.0,18281.0,7,1,30,15127.0
11241,0,2232.0,19108.0,8,1,57,17856.0
11416,0,1435.0,16172.0,8,1,40,11480.0
14720,0,2277.2,17771.4,2,5,51,4554.4
9161,1,1185.0,16054.0,10,1,21,11850.0
28675,1,790.0,14263.0,1,1,35,790.0
20095,0,1780.0,15823.0,5,1,41,8900.0
22883,0,3805.0,22604.0,4,1,40,15220.0
11362,1,1593.8,16299.6,1,5,40,1593.8
8568,0,452.0,13519.0,10,1,35,4520.0
20810,1,1926.0,16216.0,4,1,53,7704.0
6798,0,547.0,14239.0,11,1,51,6017.0
18966,0,1177.0,14658.0,4,2,38,4708.0
19652,1,1488.0,15203.0,5,1,37,7440.0
3213,0,1281.0,18940.0,13,1,32,16653.0
27883,0,1591.0,16417.0,2,1,38,3182.0
16039,1,2855.0,24492.0,6,1,51,17130.0
4771,0,959.0,16138.0,12,1,39,11508.0
6107,1,1505.0,18978.0,11,1,48,16555.0
29706,0,2075.0,18055.0,1,1,45,2075.0
21552,1,3442.0,20253.0,4,1,49,13768.0
30219,0,1076.0,15046.0,1,1,45,1076.0
28836,0,2301.0,19348.0,1,1,30,2301.0
16089,1,1398.5,15852.5,4,2,45,5594.0
18149,1,2038.0,16391.0,5,1,36,10190.0
11421,1,469.0,13417.0,8,1,45,3752.0
29820,1,1284.0,15617.0,1,1,30,1284.0
14580,1,1100.0,15133.0,7,1,39,7700.0
17784,0,3202.0,20037.0,5,1,36,16010.0
18647,0,2074.5,16484.0,4,2,35,8298.0
14453,1,1190.0,15362.0,7,1,47,8330.0
15301,1,227.0,12446.0,7,1,39,1589.0
22422,1,513.0,13370.0,4,1,27,2052.0
26067,0,3069.0,20539.0,2,1,38,6138.0
10243,1,1005.25,15101.0,1,4,35,1005.25
12684,1,706.0,14123.0,8,1,38,5648.0
13503,1,658.0,13849.0,7,1,45,4606.0
29671,1,2188.0,18764.0,1,1,40,2188.0
11638,0,1346.0,15982.0,8,1,29,10768.0
14610,1,1013.0,14914.0,7,1,28,7091.0
12976,1,1326.0,15915.0,8,1,50,10608.0
5257,0,972.0,16185.0,12,1,25,11664.0
17111,1,1698.5,17172.0,2,2,57,3397.0
12984,1,800.0,14317.0,8,1,32,6400.0
22528,1,2706.0,17947.0,4,1,23,10824.0
13436,1,376.0,13017.0,7,1,48,2632.0
5454,1,478.0,14203.0,12,1,35,5736.0
13567,1,325.0,12817.0,7,1,35,2275.0
29335,0,2736.0,24880.0,1,1,20,2736.0
19613,1,128.0,11531.0,5,1,34,640.0
8736,1,22.0,10170.0,10,1,48,220.0
21760,1,628.0,13678.0,2,2,33,1256.0
18300,1,1864.0,16003.0,5,1,23,9320.0
9685,1,1186.0,16352.0,9,1,28,10674.0
15827,1,544.0,13967.0,6,1,39,3264.0
11002,1,1015.0,15848.0,9,1,29,9135.0
18592,1,3104.0,19567.0,5,1,42,15520.0
8926,0,1349.0,16655.0,10,1,25,13490.0
3533,1,104.0,11779.0,13,1,49,1352.0
29273,1,2690.0,23240.0,1,1,40,2690.0
5903,1,1418.0,18241.0,11,1,35,15598.0
28350,1,429.0,13593.0,2,1,21,858.0
6213,0,1627.0,20627.0,11,1,31,17897.0
21460,0,1019.0,14477.0,4,1,39,4076.0
22037,0,1622.0,15654.0,4,1,37,6488.0
4293,0,858.0,15779.0,13,1,44,11154.0
4210,1,1155.33333333,16671.0,9,3,66,10398.0
4083,0,1287.0,19012.0,13,1,38,16731.0
27593,1,1650.0,16548.0,2,1,39,3300.0
9570,1,2017.0,19646.0,9,1,29,18153.0
19655,0,1136.0,14404.0,5,1,45,5680.0
10744,0,1798.0,18479.0,9,1,38,16182.0
18838,1,1329.0,14881.0,5,1,50,6645.0
28230,0,1472.0,16189.0,2,1,48,2944.0
16518,0,1493.0,15830.0,5,2,40,7465.0
18505,0,977.0,14083.0,5,1,59,4885.0
26610,0,2745.0,20220.0,1,2,56,2745.0
14267,0,887.0,14479.0,7,1,26,6209.0
27652,1,421.0,13565.0,2,1,47,842.0
8249,0,1869.0,18893.0,10,1,29,18690.0
29544,1,652.0,13925.0,1,1,40,652.0
14586,0,2406.0,19630.0,7,1,50,16842.0
14732,0,1673.0,16692.0,7,1,21,11711.0
3750,1,1234.5,16419.0,5,2,52,6172.5
9757,1,966.0,15713.0,9,1,36,8694.0
17598,1,2471.0,19493.0,1,2,29,2471.0
11292,0,1711.0,17108.0,8,1,33,13688.0
29737,0,1922.0,17535.0,1,1,25,1922.0
12201,0,1661.0,16943.0,8,1,28,13288.0
29228,1,330.0,12997.0,1,1,25,330.0
10706,1,2309.0,21791.0,9,1,25,20781.0
8386,1,194.0,12391.0,10,1,20,1940.0
22436,1,525.0,13407.0,4,1,34,2100.0
10836,1,1198.0,16387.0,9,1,39,10782.0
29056,1,786.0,14256.0,1,1,50,786.0
18563,1,1831.0,15937.0,5,1,34,9155.0
7268,1,1157.0,15977.0,10,1,42,11570.0
28989,0,1321.0,15721.0,1,1,45,1321.0
11524,0,762.0,14250.0,8,1,28,6096.0
21540,0,3675.0,21517.0,4,1,28,14700.0
13951,1,1908.0,17476.0,6,2,30,11448.0
9758,1,1166.0,16275.0,9,1,30,10494.0
20381,0,1572.0,15576.0,4,1,27,6288.0
7930,1,143.0,12014.0,10,1,49,1430.0
27073,1,589.0,14047.0,2,1,56,1178.0
6021,1,1386.0,17236.5,10,2,28,13860.0
18277,0,2521.0,17539.0,5,1,46,12605.0
15400,1,677.0,14284.0,6,1,31,4062.0
1354,0,1177.0,15326.0,7,1,48,8239.0
10141,1,1840.0,18688.0,9,1,48,16560.0
17346,1,1562.5,16046.5,5,2,45,7812.5
26955,1,3067.0,20537.0,2,1,39,6134.0
5179,0,1522.0,19295.0,12,1,35,18264.0
20965,0,3263.0,19529.0,4,1,48,13052.0
21255,1,3905.0,24247.0,4,1,35,15620.0
7264,0,2019.0,19798.0,10,1,44,20190.0
13545,1,51.6,11012.4,2,5,39,103.2
17695,1,2347.0,17064.0,5,1,33,11735.0
29183,0,1483.0,16136.0,1,1,30,1483.0
4709,1,376.0,13804.0,12,1,38,4512.0
7335,1,1913.5,18332.0,1,2,52,1913.5
19449,1,214.0,11947.0,5,1,40,1070.0
4648,1,1377.0,18074.0,12,1,25,16524.0
10137,0,2114.0,20284.0,9,1,25,19026.0
15641,0,2527.0,20103.0,6,1,48,15162.0
21636,1,1357.0,15178.0,4,1,46,5428.0
6025,0,966.0,15953.0,11,1,41,10626.0
18522,1,3299.5,20016.5,4,2,47,13198.0
10440,0,2418.0,23269.0,9,1,28,21762.0
14105,0,1392.0,15875.0,7,1,48,9744.0
28139,1,1612.0,16451.0,2,1,36,3224.0
12746,1,756.0,14230.0,8,1,37,6048.0
21384,1,2477.0,17418.0,4,1,45,9908.0
13776,0,2111.66666667,17050.6666667,4,3,38,8446.66666667
