Id,Rank,Year,0,Age Category,AttendanceIn2015
21529,71.0,4,1,30,0
9916,1815.0,9,1,39,0
17372,497.0,6,1,37,0
20658,1643.0,4,1,38,0
6703,1164.0,11,1,39,0
15320,2637.0,7,1,49,0
21630,3038.0,4,1,39,0
10415,1338.0,9,1,28,0
13527,2457.5,6,2,37,0
15895,1222.0,6,1,45,0
17231,1792.0,6,1,33,0
30143,2269.0,1,1,45,1
13267,1697.0,7,1,40,0
5642,1169.0,12,1,31,0
14756,476.0,7,1,25,0
20388,461.0,4,1,44,0
21280,20.0,4,1,32,0
4946,1451.0,12,1,35,0
23388,2347.0,1,2,42,1
19640,3205.0,5,1,34,0
8255,1753.0,10,1,51,0
15974,2276.0,6,1,40,0
8870,1464.0,10,1,35,0
21361,903.0,4,1,41,0
17015,2595.0,6,1,25,0
7521,1344.0,10,1,23,0
16915,1546.0,6,1,37,0
26065,3225.0,2,1,35,0
29131,2139.0,1,1,50,1
12777,1968.0,8,1,38,0
12204,2882.5,5,2,40,0
19065,444.0,5,1,42,0
14332,974.0,7,1,30,0
21345,876.0,4,1,29,0
29119,1740.0,1,1,50,1
11120,2318.0,7,2,40,0
8016,1703.0,10,1,39,0
4489,1406.0,12,1,28,0
14745,1876.0,7,1,43,0
9438,1272.0,9,1,50,0
18803,3497.0,5,1,44,0
27244,2018.0,2,1,29,0
29561,473.0,1,1,35,1
28856,2411.0,1,1,50,1
18334,1964.0,5,1,32,0
10262,1527.0,9,1,28,0
13048,75.25,4,4,49,0
3292,276.0,13,1,39,0
17576,2032.0,5,1,47,0
19984,753.0,5,1,33,0
26616,2273.0,2,1,37,0
20312,1085.0,4,1,25,0
3937,1139.0,13,1,32,0
12942,736.0,7,2,43,0
19305,3374.0,4,2,48,0
17602,1778.0,5,1,36,0
17336,460.0,6,1,37,0
12398,290.5,7,2,61,0
1788,2408.0,4,1,29,0
7054,728.0,11,1,25,0
28145,2121.0,2,1,56,0
14470,1989.0,7,1,50,0
11206,115.0,8,1,35,0
7591,674.0,10,1,30,0
18784,1920.0,5,1,36,0
16191,1754.0,6,1,36,0
29971,341.0,1,1,35,1
