Id,Sex,AvgRank,AvgTime,YearsSinceLast,YearsOfParticipation,LatestAge
267,0,3039.0,25776.0,1,1,30
268,0,990.0,14547.0,1,1,40
269,0,363.0,12861.0,1,1,30
270,1,2120.0,17729.0,1,1,35
271,1,248.333333333,12554.1666667,1,6,50
272,1,765.0,14046.0,1,1,35
273,1,319.0,12675.0,1,1,45
274,1,2006.0,17368.0,1,1,55
275,1,625.0,13671.0,1,1,35
276,0,2255.0,18196.0,1,1,45
277,1,1251.0,15265.0,1,1,40
278,1,749.0,14199.5,1,2,50
279,1,2730.0,20535.0,1,1,60
280,1,1396.5,15808.5,1,2,30
281,1,651.0,13745.0,1,1,35
282,0,2443.0,19029.0,1,1,35
283,1,450.0,13172.0,1,1,20
284,0,2702.0,20310.0,1,1,25
285,0,1593.0,16221.0,1,1,30
286,0,1768.0,16725.0,1,1,35
287,1,2471.5,20239.0,1,2,20
288,1,1961.0,17248.0,1,1,40
289,1,1182.0,16140.5,1,2,35
290,0,2648.0,19903.0,1,1,50
291,1,2405.0,19284.0,1,2,55
292,1,1702.75,16552.25,1,4,40
293,0,1377.0,15678.0,1,1,35
294,1,1530.0,16081.0,1,1,35
295,1,864.5,14335.0,1,2,35
296,1,503.0,13341.0,1,1,35
297,1,1964.0,17252.0,1,1,40
298,0,2009.0,17376.0,1,1,30
299,0,777.0,14074.0,1,1,45
300,0,1951.0,17219.0,1,1,40
301,1,2412.0,18910.0,1,1,45
302,0,2257.0,18201.0,1,1,35
303,1,1110.0,14896.0,1,1,45
304,1,2633.0,19466.3333333,1,3,51
305,1,1301.0,15427.0,1,1,40
306,1,2506.0,18474.5,1,2,20
307,1,679.0,13839.0,1,1,35
308,0,1280.5,15556.0,1,2,45
309,1,1991.0,17328.0,1,1,25
310,0,2695.0,20270.0,1,1,30
311,0,2200.0,17981.0,1,1,35
312,1,212.0,12285.0,1,1,50
313,1,142.0,11895.0,1,1,50
314,0,2072.75,14641.5,1,4,40
315,1,358.0,12961.0,1,2,50
316,1,761.0,14038.0,1,1,40
317,1,998.0,14569.0,1,1,50
318,0,2684.0,20171.0,1,1,35
319,0,2790.0,20976.0,1,1,20
320,0,2110.25,20224.5,1,4,33
321,1,1590.0,16203.0,1,1,40
322,1,1265.4,15134.4,1,5,30
323,1,481.666666667,13403.0,1,3,40
324,1,312.25,12794.0,1,4,40
325,0,2023.0,17409.0,1,1,30
326,1,2829.33333333,20015.8333333,1,6,57
327,0,2052.0,17503.0,1,1,40
328,1,3277.5,24703.0,1,2,20
329,1,2451.0,19055.0,1,1,45
330,0,1366.0,15619.0,1,1,40
331,1,1016.0,14625.0,1,1,55
332,0,1346.0,15557.0,1,1,30
333,0,783.0,14084.0,1,1,25
334,0,555.0,13494.0,1,1,40
335,0,2409.0,18901.0,1,1,45
336,1,666.0,13786.0,1,1,55
337,1,1496.0,16010.0,1,1,40
338,1,16.0,10585.0,1,1,30
339,1,1631.0,16346.0,1,1,20
340,1,419.0,13098.0,1,1,30
341,1,1675.33333333,17228.6666667,1,3,39
342,1,988.0,14535.0,1,1,45
343,1,884.0,14312.0,1,1,35
344,1,2809.0,21143.0,1,1,45
345,0,2958.0,23238.0,1,1,25
346,0,2234.66666667,18614.0,1,3,25
347,1,1752.375,15328.0,1,8,54
348,1,1233.0,15227.0,1,1,50
349,1,2574.0,19585.0,1,1,40
350,1,1705.0,16553.0,1,1,35
351,0,144.75,11932.75,1,4,41
352,1,167.6,12069.8,1,5,55
353,1,1933.0,11039.0,1,2,40
354,1,586.5,13551.0,1,2,35
355,1,473.0,13258.0,1,1,40
356,1,2876.33333333,19547.0,1,3,40
357,1,1635.0,16350.0,1,1,35
358,0,2557.0,19517.0,1,1,30
359,0,2109.0,17695.0,1,1,30
360,0,468.0,13242.0,1,1,45
361,1,862.0,14260.0,1,1,40
362,1,2361.0,18655.0,1,1,50
363,1,609.0,13634.0,1,1,30
364,1,1743.5,10940.0,1,2,55
365,1,1449.0,15897.0,1,1,30
366,1,91.0,11450.0,1,1,45
367,1,3062.75,21555.75,1,4,30
368,0,1857.0,16965.0,1,1,15
369,1,1174.0,15062.0,1,1,45
370,0,641.0,13721.0,1,1,35
371,1,147.0,11943.0,1,1,35
372,1,2194.0,17965.0,1,1,30
373,0,721.0,13965.0,1,1,40
374,1,836.0,14249.5,1,2,50
375,0,1756.0,16807.5,1,2,40
376,0,1995.0,17346.0,1,1,40
377,0,2433.0,19005.0,1,1,30
378,0,1873.0,17440.5,1,6,60
379,1,193.0,12166.0,1,1,30
380,0,1801.0,16504.6666667,1,3,50
381,0,2664.0,19998.0,1,1,50
382,1,90.0,11447.0,1,1,40
383,1,925.5,14538.5,1,2,30
384,0,2454.66666667,18993.6666667,1,3,25
385,1,1236.0,15231.0,1,1,25
386,1,461.0,13217.0,1,1,40
387,1,1760.33333333,16763.0,1,3,40
388,1,581.0,13555.0,1,1,35
389,1,2108.0,17691.0,1,1,25
390,1,1264.0,15301.0,1,1,30
391,1,22.0,10716.0,1,1,30
392,0,1866.0,16979.0,1,1,45
393,1,176.0,12084.0,1,1,30
394,0,268.0,12537.0,1,1,50
395,1,1439.5,16027.0,1,2,36
396,0,2196.0,17978.0,1,1,25
397,1,1037.66666667,14812.6666667,1,3,50
398,1,265.0,12530.0,1,1,20
399,0,2074.0,17547.0,1,1,40
400,0,1411.0,15786.0,1,1,30
401,1,2181.0,17920.0,1,1,50
402,1,1459.0,15933.0,1,1,45
403,1,653.0,13757.0,1,1,35
404,0,597.0,13614.0,1,1,30
405,1,338.0,12769.0,1,1,50
406,0,2406.0,18891.0,1,1,30
407,0,1395.0,15730.0,1,1,25
408,0,2440.0,11634.0,1,2,26
409,1,36.0,10886.0,1,1,25
410,1,305.666666667,12635.8333333,1,6,35
411,0,15.0,10530.0,1,1,40
412,1,2854.0,20014.4,1,5,67
413,1,1099.0,14872.0,1,1,35
414,1,2573.0,19584.0,1,1,40
415,1,1425.0,15815.0,1,1,50
416,0,1952.0,17224.0,1,1,20
417,1,1013.0,14616.0,1,1,35
418,1,2771.0,20850.0,1,1,40
419,1,1142.91666667,15136.4166667,1,12,55
420,1,2182.0,17921.0,1,1,35
421,1,178.2,12160.0,1,5,50
422,0,1317.0,15475.0,1,1,30
423,1,522.5,13459.0,1,2,35
424,1,2292.0,18344.0,1,1,25
425,1,283.0,12581.0,1,1,45
426,1,599.0,13686.5,1,2,40
427,0,2535.0,19406.0,1,1,35
428,1,2210.0,13937.3333333,1,3,40
429,1,596.0,13611.0,1,1,60
430,0,2440.0,19025.0,1,1,20
431,1,296.0,12898.0,1,2,55
432,1,2192.0,17954.0,1,1,35
433,1,1902.0,17083.0,1,1,30
434,1,2321.0,18466.0,1,1,40
435,0,2814.0,21214.0,1,1,35
436,1,2652.44444444,20803.0,1,9,51
437,1,2448.0,19043.0,1,1,50
438,0,2255.0,18030.0,1,2,47
439,1,1387.0,15712.0,1,1,45
440,0,2590.0,19657.0,1,1,45
441,1,1666.0,16437.0,1,1,40
442,1,2169.0,17884.0,1,1,15
443,1,2678.0,20129.0,1,1,25
444,0,364.0,12867.0,1,1,30
445,1,2677.0,20124.0,1,1,40
446,1,1823.0,16873.0,1,1,35
447,1,2033.0,17446.0,1,1,30
448,1,225.0,12557.0,1,2,33
449,1,2286.0,18322.0,1,1,35
450,1,778.0,14076.0,1,1,25
451,0,2243.0,18154.0,1,1,50
452,1,2618.0,19782.0,1,1,45
453,1,2581.0,19625.0,1,1,35
454,1,351.0,12818.0,1,1,20
455,0,476.0,13275.0,1,1,40
456,1,449.0,13164.0,1,1,30
457,1,907.0,14344.0,1,1,40
458,0,2449.0,19049.0,1,1,40
459,1,246.0,12437.0,1,1,25
460,1,2203.0,17990.0,1,1,35
461,1,1748.66666667,16420.6666667,1,3,41
462,1,2763.66666667,22520.6666667,1,3,40
463,1,2954.0,23192.0,1,1,35
464,1,1123.0,14926.0,1,1,40
465,1,767.0,14049.0,1,1,25
466,0,1133.0,14943.0,1,1,30
467,1,873.0,14281.0,1,1,45
468,1,1360.0,15603.0,1,1,50
469,1,1222.77777778,15507.8888889,1,9,60
470,1,2476.85714286,16936.1428571,1,7,45
471,1,202.0,12234.0,1,1,50
472,1,828.0,14184.0,1,1,40
473,0,2391.5,19296.5,1,2,55
474,0,2840.0,21553.0,1,1,35
475,0,585.0,13570.0,1,1,35
476,0,2349.0,17696.5,1,2,40
477,1,804.0,14133.0,1,1,50
478,1,1124.0,14927.0,1,1,35
479,1,1356.5,15644.6666667,1,6,45
480,1,1276.5,15406.5,1,2,45
481,1,1510.33333333,15885.6666667,1,3,35
482,1,2029.25,17683.25,1,4,32
483,0,1831.0,17104.0,1,3,45
484,1,414.0,13089.0,1,1,45
485,0,1805.0,16820.0,1,1,30
486,1,2043.0,17480.0,1,1,35
487,1,2128.0,17750.0,1,1,30
488,0,2420.0,18946.0,1,1,40
489,1,1871.5,11669.0,1,2,35
490,1,1376.16666667,16152.5,1,6,57
491,1,1377.33333333,15849.6666667,1,3,60
492,1,1111.0,14897.0,1,1,50
493,1,416.0,12938.0,1,2,20
494,1,1143.5,15175.5,1,2,31
495,1,65.4,11317.8,1,5,46
496,1,2374.0,18735.0,1,1,40
497,1,1870.8,14422.6,1,5,45
498,1,1808.0,16825.0,1,1,30
499,1,703.5,14080.5,1,2,50
500,1,614.0,13645.0,1,1,50
501,0,1831.5,17010.0,1,2,30
502,0,1862.0,16972.0,1,1,25
503,1,447.0,13154.0,1,1,30
504,0,1759.28571429,16799.0,1,7,55
505,1,1278.0,15366.0,1,1,50
506,0,1494.0,16004.0,1,1,35
507,1,1689.0,16488.0,1,1,40
508,1,725.0,13973.0,1,1,50
509,1,799.0,14114.0,1,1,45
510,1,1396.0,15740.0,1,1,45
511,1,2799.0,21059.0,1,1,40
512,1,408.0,13052.0,1,1,30
513,0,3011.0,24652.0,1,1,40
514,1,2544.0,19473.0,1,1,55
515,1,2989.0,23878.0,1,1,40
516,0,2575.0,19593.0,1,1,25
